,Air Carrier Delay,Aircraft Arriving Late,National Aviation System Delay,Security Delay,Extreme Weather
"2003
(Jun-Dec)",26.3,30.9,36.5,0.3,6.1
2004,25.8,33.6,33.5,0.3,6.9
2005,28.0,34.2,31.4,0.2,6.2
2006,27.8,37.0,29.4,0.3,5.6
2007,28.5,37.7,27.9,0.2,5.7
2008,27.8,36.6,30.2,0.1,5.4
2009,28.0,36.2,30.6,0.1,5.0
2010,30.4,39.4,25.7,0.2,4.4
2011,30.1,40.8,24.8,0.1,4.1
2012,31.9,41.4,22.5,0.1,4.0
2013,29.4,42.1,24.2,0.1,4.1
2014,30.2,41.9,23.5,0.1,4.3
2015,32.2,39.8,22.9,0.1,5.0
2016,32.6,39.2,23.7,0.1,4.4
2017,31.2,39.4,25.1,0.1,4.3
2018,30.1,39.6,24.5,0.1,5.6
2019,30.6,39.7,24.0,0.1,5.5
2020,41.0,30.2,21.6,0.2,6.9
