,year,percent_carrier_delay_minutes,percent_weather_delay_minutes,percent_nas_delay_minutes,percent_security_delay_minutes,percent_late_aircraft_delay_minutes
0,2020,41.84405396516902,7.039362763587446,21.67030039074766,0.2344225834681967,29.209968803360837
1,2021,40.828586046413456,6.875507209062165,16.708514909279916,0.3392715308806674,35.24809028033451
1,2004,25.8,6.9,33.5,0.3,33.6
2,2005,28.0,6.2,31.4,0.2,34.2
3,2006,27.8,5.6,29.4,0.3,37.0
4,2007,28.5,5.7,27.9,0.2,37.7
5,2008,27.8,5.4,30.2,0.1,36.6
6,2009,28.0,5.0,30.6,0.1,36.2
7,2010,30.4,4.4,25.7,0.2,39.4
8,2011,30.1,4.1,24.8,0.1,40.8
9,2012,31.9,4.0,22.5,0.1,41.4
10,2013,29.4,4.1,24.2,0.1,42.1
11,2014,30.2,4.3,23.5,0.1,41.9
12,2015,32.2,5.0,22.9,0.1,39.8
13,2016,32.6,4.4,23.7,0.1,39.2
14,2017,31.2,4.3,25.1,0.1,39.4
15,2018,30.1,5.6,24.5,0.1,39.6
16,2019,30.6,5.5,24.0,0.1,39.7
