,state,total_delays
0,Alabama,7582
1,Alaska,11053
2,Arizona,44233
3,Arkansas,5488
4,California,136448
5,Colorado,76325
6,Connecticut,6012
7,Delaware,27
8,Florida,155934
9,Georgia,60571
10,Hawaii,17133
11,Idaho,6935
12,Illinois,74452
13,Indiana,13133
14,Iowa,6143
15,Kansas,3480
16,Kentucky,6609
17,Louisiana,14748
18,Maine,3188
19,Maryland,17727
20,Massachusetts,21764
21,Michigan,33987
22,Minnesota,23037
23,Mississippi,2795
24,Missouri,23716
25,Montana,7205
26,Nebraska,6459
27,Nevada,42337
28,New Hampshire,1599
29,New Jersey,28977
30,New Mexico,5792
31,New York,55292
32,North Carolina,59082
33,North Dakota,4113
34,Ohio,29701
35,Oklahoma,9647
36,Oregon,17127
37,Pennsylvania,32491
38,Puerto Rico,10168
39,Rhode Island,3012
40,South Carolina,14512
41,South Dakota,3870
42,Tennessee,28637
43,Texas,185573
44,Utah,25727
45,Vermont,1155
46,Virgin Islands,1737
47,Virginia,10114
48,Washington,39822
49,"Washington, DC",29495
50,West Virginia,1365
51,Wisconsin,11427
52,Wyoming,3116
53,unknown,181
