,state,total_delay_minutes
0,Alabama,469758
1,Alaska,511838
2,Arizona,3000654
3,Arkansas,309900
4,California,8069900
5,Colorado,5163716
6,Connecticut,364797
7,Delaware,1521
8,Florida,9745403
9,Georgia,4109553
10,Hawaii,890735
11,Idaho,420858
12,Illinois,5543693
13,Indiana,814855
14,Iowa,404836
15,Kansas,224696
16,Kentucky,433103
17,Louisiana,879972
18,Maine,196363
19,Maryland,942076
20,Massachusetts,1454257
21,Michigan,2493782
22,Minnesota,1807163
23,Mississippi,185249
24,Missouri,1334996
25,Montana,417651
26,Nebraska,374924
27,Nevada,2449524
28,New Hampshire,92505
29,New Jersey,1977529
30,New Mexico,365276
31,New York,3923291
32,North Carolina,4196436
33,North Dakota,342267
34,Ohio,1829261
35,Oklahoma,576770
36,Oregon,972280
37,Pennsylvania,2195541
38,Puerto Rico,644358
39,Rhode Island,179533
40,South Carolina,872415
41,South Dakota,276995
42,Tennessee,1685612
43,Texas,12546949
44,Utah,1793902
45,Vermont,73358
46,Virgin Islands,95199
47,Virginia,636620
48,Washington,2172713
49,"Washington, DC",2004451
50,West Virginia,99643
51,Wisconsin,705288
52,Wyoming,237804
53,unknown,11492
